PROFILE_ID,MONTH_BALANCE,BEGINNING_TOTAL_HOLDINGS_GBP,END_TOTAL_HOLDINGS_GBP,BEGINNING_EQUITY_GBP,END_EQUITY_GBP,BEGINNING_INTEREST_GBP,END_INTEREST_GBP
35730461,2023-03-01,0,0,,,,
36026002,2023-05-01,"279,67","210,19",,,,
35460479,2023-04-01,20,0,,,,
35605141,2023-04-01,0,0,,,,
36293002,2023-06-01,0,0,,,,
39473790,2023-06-01,,"3,06",,,,
38139138,2023-03-01,,4240,,,,
37125334,2023-04-01,"1655,91",220,,,,
35523071,2023-01-01,,0,,,,
37258229,2023-04-01,"1161,43","2595,42",,,,
36645574,2023-03-01,0,48,,,,
35637740,2023-03-01,"2495,59",1024,,,,
36029474,2023-04-01,0,0,,,,
39120290,2023-04-01,,0,,,,
38970352,2023-04-01,,"325,83",,,,
40131323,2023-05-01,,"19,83",,,,
35811643,2023-04-01,"723,66","293,77",,,,
40314857,2023-05-01,,0,,,,
36406107,2023-05-01,0,0,,,,
39013038,2023-06-01,0,0,,,,
35605693,2023-02-01,10,"197,5",,,,
36571166,2023-05-01,1223,973,,,,
41126174,2023-06-01,,"59,3",,,,
35387411,2023-06-01,"672,07","603,13",,,,
35828803,2023-01-01,,"178,5",,,,
39029958,2023-06-01,0,0,,,,
37566723,2023-06-01,"1037,55","1208,93",,,,
38195532,2023-06-01,0,0,,,,
38909378,2023-04-01,,0,,,,
35720711,2023-03-01,0,0,,,,
36959852,2023-06-01,"2,98","2,98",,,,
37884881,2023-06-01,"337,24","18,2",,,,
36634503,2023-06-01,"0,9","0,9",,,,
38754391,2023-06-01,"1837,35","1837,35",,,,
36430904,2023-06-01,0,0,,,,
35460626,2023-01-01,,20,,20,,
38153301,2023-03-01,,"8,11",,,,
39240765,2023-06-01,0,0,,,,
